"Latitude","Longitude"
51.51321130163698,-0.08985123611485381
51.51325717936474,-0.08986692505094422
51.51330180681026,-0.08988549891338224
51.51334276785819,-0.08991737692676896
51.513388372742156,-0.08991643845838654
51.513434398863716,-0.08990467296325654
51.513453133267014,-0.08983877911759573
51.51345043664754,-0.08976572047039777
51.51345096848117,-0.08969143640405446
51.513449927227285,-0.08961787631215752
51.51344764334853,-0.08954325734353315
51.51344210495513,-0.08947137981119346
51.51342790110214,-0.08940154152362413
51.51343031067744,-0.08932825881802785
51.513437774906976,-0.08925580975179269
51.51345002289147,-0.08918445946244521
51.513465130247,-0.08911552501915482
51.51349367199023,-0.08905958541832835
51.51352914406596,-0.08901637919735389
51.51351762309084,-0.08894751321356924
51.51350635021935,-0.08887621807007828
51.513534905280366,-0.0888198996308647
51.51354212035081,-0.08874874102268311
51.51351850445107,-0.08868739712603566
51.51348880148564,-0.08863207882267389
51.51345097768591,-0.08859275751102864
51.5134057762516,-0.08860039606832261
51.51336097404502,-0.08861584283232325
51.51333610358212,-0.08867713495399328
51.51331432997567,-0.08874175090876082
51.51329987687903,-0.08881099730563795
51.513288865601865,-0.08888234652751492
51.513286005284876,-0.08895620299494708
51.51328350038455,-0.08902955454942532
51.51329699757789,-0.08909872326364612
51.51331781074162,-0.08916466982646644
51.51333389365167,-0.0892337665701799
51.51334254080999,-0.08930641490628263
51.5133483047157,-0.08937898577880565
51.51335330915461,-0.08943235374166097
